n_features,entropy_bits,unique_rate
1,8.03302284130997,0.005693333333333333
1,8.831154572520202,0.0013133333333333332
1,6.578503463551119,0.0009166666666666666
1,3.86059541197973,0.004716666666666667
1,6.987516372106061,0.0016833333333333333
1,7.312558741440283,0.00040666666666666667
1,4.923245133058802,0.0007966666666666667
1,2.3580265151630573,0.0001
1,3.397301546896651,8e-05
1,3.723772802330754,1e-05
1,1.6184231526444661,3.3333333333333333e-06
1,2.8091463695739702,0.0
1,1.7401089190707937,0.0
1,2.004892758773687,3.3333333333333333e-06
1,0.9485445875432398,0.0
1,2.5129658354917033,0.0
1,1.2727409951150928,6.666666666666667e-06
1,1.2932977511759431,0.0
16,13.188027576164739,0.023173333333333334
3,9.564603489954507,0.0072
10,13.599054427742955,0.11242666666666666
18,14.137067815214657,0.12415666666666667
5,12.420642761053992,0.01806666666666667
6,12.200339846928946,0.018446666666666667
15,13.646286105567745,0.11628666666666666
9,12.68667104220892,0.01901
10,12.72009267038191,0.07480333333333333
18,14.137067815214657,0.12415666666666667
15,13.9754604575877,0.12231333333333333
14,12.931356717352182,0.016313333333333332
14,13.540664600099884,0.10625
3,10.622925059442794,0.005236666666666666
18,14.137067815214657,0.12415666666666667
7,12.979966634358853,0.09176333333333334
14,13.722485705550659,0.12001333333333333
3,8.84595718802238,0.0067866666666666665
2,5.002938345141865,4.3333333333333334e-05
18,14.137067815214657,0.12415666666666667
18,14.137067815214657,0.12415666666666667
15,14.100716572667016,0.12305
3,9.226511655655717,0.00226
7,11.569697452394987,0.01434
14,13.588818222891447,0.10008666666666667
4,8.530236574474968,0.0010833333333333333
16,14.136333258175949,0.12415
10,13.661795343485522,0.11116666666666666
2,6.59451405948614,0.00096
11,13.786051902569213,0.11661
4,11.686692527664535,0.05561666666666667
16,13.188027576164739,0.023173333333333334
17,13.997577093243832,0.12101666666666666
12,13.538051205207983,0.09930333333333333
3,9.914460604448395,0.06782666666666666
5,10.090624417920216,0.0035833333333333333
5,9.38468612346652,0.00509
7,12.334897862721055,0.019026666666666667
16,14.135452775560516,0.12404333333333334
5,11.143564093803086,0.007386666666666666
18,14.137067815214657,0.12415666666666667
5,9.50138448346446,0.03004
16,13.706991958619895,0.11731
6,10.90722740943092,0.00683
9,12.798977188899233,0.015003333333333334
12,13.255620447374604,0.10781
7,12.737586394958036,0.10320666666666667
9,12.118904259536478,0.06243666666666667
2,9.85754442644577,0.0037
7,11.005889049839492,0.05654666666666667
9,12.855720165932375,0.08689666666666666
8,10.953644758975488,0.006553333333333334
5,9.570109989369096,0.03102
12,13.635052544673353,0.11483666666666667
6,8.749344864207192,0.0032133333333333332
3,8.343722182485855,0.0030466666666666667
3,8.45787687956909,0.006053333333333333
7,12.114081951063044,0.010976666666666666
18,14.137067815214657,0.12415666666666667
11,13.387844410326267,0.024836666666666667
9,9.964679357913761,0.033653333333333334
12,13.778711476424949,0.11616666666666667
17,13.45724087728414,0.02586
8,12.40257601788351,0.09808333333333333
13,13.671558119726061,0.11747333333333333
10,13.456364776468902,0.09671666666666667
15,13.928119849164602,0.12189333333333334
3,10.320316483673142,0.004396666666666667
4,10.951418493080656,0.0066033333333333335
7,11.314915991406558,0.052513333333333335
2,6.987516372106061,0.0016833333333333333
5,9.678491426141559,0.0026566666666666666
14,13.771344411805927,0.11800666666666666
14,14.13471673582362,0.12403666666666667
16,13.45724087728414,0.02586
16,13.864490134915265,0.11835
12,14.024521600402846,0.12121
4,5.225790275726501,0.00031666666666666665
14,13.432557915137043,0.025516666666666667
8,12.538498402981533,0.08621666666666666
8,13.443478117906654,0.10968666666666667
9,13.055089479587025,0.11090666666666667
8,11.520198243064614,0.05495333333333333
3,8.958412108027506,0.00413
11,13.818714993121837,0.11539666666666666
17,13.977990181552912,0.12239666666666667
2,5.545540790139421,0.00111
5,8.724209523510527,0.0028866666666666667
9,12.789525452225114,0.02081
15,14.134866725822869,0.12406333333333333
14,13.606596536170697,0.10887333333333334
14,13.559150322306262,0.09723
16,13.45724087728414,0.02586
12,12.798924016933306,0.014593333333333333
12,13.174815275953758,0.022786666666666667
2,6.611032106282144,0.0010433333333333334
6,9.517778548949488,0.004546666666666667
3,3.1489295564972526,2e-05
11,13.749671734222854,0.1179
2,9.31049388021906,0.0017666666666666666
10,12.818301284822908,0.019573333333333335
17,13.74039181264869,0.10418
6,11.998150637882558,0.015633333333333332
11,12.553626144683573,0.020263333333333335
9,11.894527024538684,0.00988
11,12.350600127402501,0.018926666666666668
16,14.102209399975063,0.12313666666666667
9,12.766736675728634,0.02125
3,10.216611797327952,0.0034766666666666665
10,11.419737899075221,0.010093333333333333
6,8.9842050849182,0.00136
8,12.296828806186287,0.012836666666666666
10,10.826448358226715,0.05303666666666667
7,12.190524265113861,0.011843333333333334
6,12.678073556269833,0.021316666666666668
7,11.783606143088102,0.009513333333333334
6,11.154299492475715,0.011356666666666666
8,12.8786104735032,0.09496333333333333
16,14.102209399975063,0.12313666666666667
2,8.695198054975858,0.006796666666666667
