K,overestimate
8,3.1436303933748744
8,2.193933288294393
8,3.570900349396774
8,2.1693715367677413
8,2.5382944059990633
8,2.795193833892517
8,2.566363287690525
8,2.870441275921926
8,2.825806930639738
8,2.9516756969387146
8,2.389125277036565
8,3.4755650713193558
8,2.602590257402112
8,2.44250136823168
8,3.081489597395963
8,3.054088095837906
8,2.6013697072339936
8,2.918424751670536
8,2.265511497169439
8,2.910709441912305
10,3.2146146645737486
10,2.9258021033632753
10,3.4445957803344536
10,3.1147317751318524
10,3.0533157344129584
10,2.6195655346686446
10,3.8067652444914333
10,3.6912482312100305
10,3.8370020282866486
10,2.8773948514901244
10,2.799307124940619
10,3.662809246202223
10,3.0933359650334618
10,3.3765641217588205
10,3.165541634914145
10,3.511498269629038
10,3.290970934765197
10,2.765274223371349
10,3.7197860416188866
10,3.0300142205344684
12,4.613832397359837
12,3.9774219783139504
12,3.24708862050863
12,3.405609578443801
12,3.9160336145976142
12,4.108849136795237
12,3.2871001092334216
12,3.25764151217574
12,3.10571893453631
12,4.2456372546304415
12,3.398299176346575
12,3.3125447570628475
12,3.813758528852841
12,3.4447663461773783
12,4.021449678120721
12,3.9747670172222516
12,3.4002361333133173
12,4.143757348322629
12,4.063775980126764
12,3.633166251227654
14,3.941727158472435
14,4.203392653436467
14,4.792921633652468
14,4.633007826463278
14,4.586825733965139
14,4.361207627362232
14,4.632595087934585
14,3.9597461647025898
14,3.9723140417644784
14,3.556665122857432
14,4.4682685596384095
14,4.828536037284267
14,3.943594525723922
14,3.7843394377910795
14,4.777216308535345
14,4.863046618508795
14,4.828763422123315
14,4.701026719320807
14,4.215502651611917
14,4.718045495812203
16,5.301085669135313
16,4.883226358501659
16,4.804516938560882
16,5.033537168475563
16,4.751107056551988
16,4.748588807503155
16,4.832085229577438
16,4.869713173434839
16,4.8158773047451096
16,4.908528972174064
16,4.737250855441913
16,4.811248062338751
16,4.71409167229357
16,5.228021970742355
16,4.622704984563489
16,4.255234277391153
16,5.049970948169209
16,5.239474625947555
16,4.704049445153463
16,4.710689032845001
