dataset,n,joint_entropy,sum_marginals,overestimate_pct,neg_interaction_pct,strongest_pair,strongest_pair_bits,top1_feature,top2_feature,gpu_cluster_marginal,gpu_cluster_shapley,gpu_cluster_redundancy_pct
Li & Cao,15000,12.012,63.764,430.8,100.0,fp2_webglxfp2_webglvendoe,-1.644,jsFonts,fp2_webgl,29.553,5.341,81.9
FPStalker,15000,12.268,46.689,280.6,91.2,agentxfp2_platform,-1.215,agent,jsFonts,14.928,3.268,78.1
